common.name,genus.species,max.age,age.at.maturity,species.group
Western_Blue_Groper,Achoerodus_gouldii,70,17,Teleost
Bronze_Whaler,Carcharhinus_brachyurus,30,20,Elasmobranch
Bluethroat_Wrasse,Notolabrus_tetricus,11,6,Teleost
Dusky_Whaler,Carcharhinus_obscurus,40,20,Elasmobranch
Southern_Eagle_Ray,Myliobatis_goodei,25,8,Elasmobranch
Harlequin,Othos_dentex,42,6,Teleost
Yellowtail_Kingfish,Seriola_lalandi,12,5,Teleost
Snapper,Pagrus_auratus,35,6,Teleost
Silver_Trevally,Pseudocaranx_dentex,45,6,Teleost
White_Shark,Carcharodon_carcharias,30,12,Elasmobranch
